Namecoin Mining Distribution
Block: 237440
02 Jul 2015 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%      22,325,872      100.00%               0           

              F2Pool       76.09%      16,988,040        0.00%               0                     25.23%
             Eligius        7.49%       1,672,248        0.00%               0                     29.80%
            GHash.IO        6.85%       1,528,265        0.00%               0                     26.81%
           BTC Guild        4.07%         908,080        0.00%               0                     37.80%
           BitMinter        3.27%         730,884        0.00%               0                     25.76%
           EclipseMC        1.29%         287,936        0.00%               0                     23.08%
             Unknown        0.50%         110,744        0.00%               0                     30.00%
             Bitsolo        0.40%          88,597        0.00%               0                     12.50%
              mmpool        0.05%          11,075        0.00%               0                      0.00%
