Namecoin Mining Distribution
Block: 473045
30 Sep 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  16,276,189,297      100.00%               0           

              F2Pool       18.31%   2,980,147,336        0.00%               0                     73.08%
              Poolin       18.31%   2,980,147,336        0.00%               0                     80.77%
              ViaBTC       13.38%   2,177,799,976        0.00%               0                     68.42%
             BTC.com       12.68%   2,063,178,925        0.00%               0                     72.22%
             AntPool       11.97%   1,948,557,873        0.00%               0                     88.24%
          Huobi.pool       10.56%   1,719,315,770        0.00%               0                     80.00%
             BTC.TOP        7.04%   1,146,210,513        0.00%               0                     90.00%
           SlushPool        3.52%     573,105,256        0.00%               0                    100.00%
             Unknown        2.11%     343,863,154        0.00%               0                     66.67%
              1THash        1.41%     229,242,102        0.00%               0                    100.00%
             WAYI.CN        0.70%     114,621,051        0.00%               0                    100.00%
