Namecoin Mining Distribution
Block: 442433
12 Mar 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   7,043,529,103      100.00%               0           

             BTC.TOP       20.77%   1,462,886,813        0.00%               0                     92.59%
             BTC.com       17.69%   1,246,162,841        0.00%               0                     86.96%
              F2Pool       16.15%   1,137,800,855        0.00%               0                     76.19%
              ViaBTC       14.62%   1,029,438,868        0.00%               0                     89.47%
              Poolin       12.31%     866,895,889        0.00%               0                     68.75%
             AntPool        7.69%     541,809,931        0.00%               0                     90.00%
           SlushPool        5.38%     379,266,951        0.00%               0                     85.71%
          Huobi.pool        3.08%     216,723,972        0.00%               0                     75.00%
           BitMinter        0.77%      54,180,993        0.00%               0                    100.00%
             Unknown        0.77%      54,180,993        0.00%               0                    100.00%
             WAYI.CN        0.77%      54,180,993        0.00%               0                    100.00%
