Namecoin Mining Distribution
Block: 479480
13 Nov 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%  17,163,954,488      100.00%               0           

                   Poolin       25.00%   4,290,988,622        0.00%               0                     74.29%
                   F2Pool       19.29%   3,310,191,222        0.00%               0                     81.48%
                  BTC.COM       14.29%   2,451,993,498        0.00%               0                     80.00%
                  AntPool       10.71%   1,838,995,123        0.00%               0                     80.00%
                   ViaBTC        8.57%   1,471,196,099        0.00%               0                     75.00%
                    Huobi        7.86%   1,348,596,424        0.00%               0                     81.82%
                    Slush        7.14%   1,225,996,749        0.00%               0                     80.00%
                   1THash        4.29%     735,598,049        0.00%               0                    100.00%
                  BTC.TOP        2.86%     490,398,699        0.00%               0                    100.00%
