Namecoin Mining Distribution
Block: 452097
16 May 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   9,030,897,071      100.00%               0           

             BTC.com       25.83%   2,332,483,349        0.00%               0                     64.10%
             AntPool       15.23%   1,375,567,103        0.00%               0                     56.52%
              F2Pool       12.58%   1,136,338,042        0.00%               0                     94.74%
              Poolin       12.58%   1,136,338,042        0.00%               0                     68.42%
           SlushPool       11.92%   1,076,530,776        0.00%               0                     83.33%
             BTC.TOP        9.27%     837,301,715        0.00%               0                     92.86%
              ViaBTC        6.62%     598,072,653        0.00%               0                     80.00%
          Huobi.pool        3.97%     358,843,592        0.00%               0                     83.33%
               Bixin        1.32%     119,614,530        0.00%               0                     50.00%
             WAYI.CN        0.66%      59,807,265        0.00%               0                      0.00%
