Namecoin Mining Distribution
Block: 226066
12 Apr 2015 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%      28,800,560      100.00%               0           

              F2Pool       71.26%      20,522,554        0.00%               0                     28.57%
           BTC Guild       10.18%       2,931,793        0.00%               0                     29.41%
            GHash.IO        6.59%       1,897,042        0.00%               0                     36.36%
             Polmine        4.79%       1,379,667        0.00%               0                     12.50%
             Eligius        3.59%       1,034,750        0.00%               0                     33.33%
           EclipseMC        1.80%         517,375        0.00%               0                     33.33%
           BitMinter        1.20%         344,916        0.00%               0                      0.00%
             Bitsolo        0.60%         172,458        0.00%               0                      0.00%
